run,seed,ring_size,affected_fraction,method,completion_time_s,final_k_mean,final_k_max
5,40051970,16,0.0,adaptive,0.021500000000000102,1.0,1
5,40051970,16,0.1,adaptive,0.03115000000000038,1.1875,3
5,40051970,16,0.3,adaptive,0.04090000000000066,3.0,4
5,40051970,16,0.5,adaptive,0.0494500000000009,3.625,4
5,40051970,64,0.0,adaptive,0.02665000000000025,1.03125,2
5,40051970,64,0.1,adaptive,0.04050000000000065,1.578125,4
5,40051970,64,0.3,adaptive,0.04370000000000074,2.859375,4
5,40051970,64,0.5,adaptive,0.06220000000000127,3.75,4
1,51966,16,0.0,adaptive,0.021500000000000102,1.0,1
1,51966,16,0.1,adaptive,0.036950000000000545,1.75,4
1,51966,16,0.3,adaptive,0.04205000000000069,2.5,4
1,51966,16,0.5,adaptive,0.045650000000000794,3.3125,4
1,51966,64,0.0,adaptive,0.030350000000000356,1.21875,3
1,51966,64,0.1,adaptive,0.042550000000000705,2.15625,4
1,51966,64,0.3,adaptive,0.05455000000000105,2.859375,4
1,51966,64,0.5,adaptive,0.05805000000000115,3.4375,4
4,30051969,16,0.0,adaptive,0.02665000000000025,1.125,2
4,30051969,16,0.1,adaptive,0.03430000000000047,1.9375,4
4,30051969,16,0.3,adaptive,0.041450000000000674,3.125,4
4,30051969,16,0.5,adaptive,0.04790000000000086,3.5625,4
4,30051969,64,0.0,adaptive,0.030350000000000356,1.09375,3
4,30051969,64,0.1,adaptive,0.0458000000000008,2.125,4
4,30051969,64,0.3,adaptive,0.07489999999999991,3.171875,4
4,30051969,64,0.5,adaptive,0.06075000000000123,3.59375,4
3,20051968,16,0.0,adaptive,0.021500000000000102,1.0,1
3,20051968,16,0.1,adaptive,0.03600000000000052,1.6875,4
3,20051968,16,0.3,adaptive,0.04965000000000091,2.9375,4
3,20051968,16,0.5,adaptive,0.04770000000000085,2.75,4
3,20051968,64,0.0,adaptive,0.03270000000000042,1.53125,4
3,20051968,64,0.1,adaptive,0.040450000000000645,2.328125,4
3,20051968,64,0.3,adaptive,0.07190000000000024,3.1875,4
3,20051968,64,0.5,adaptive,0.059950000000001204,3.5625,4
2,10051967,16,0.0,adaptive,0.021500000000000102,1.0,1
2,10051967,16,0.1,adaptive,0.04555000000000079,1.75,4
2,10051967,16,0.3,adaptive,0.051650000000000966,2.4375,4
2,10051967,16,0.5,adaptive,0.05315000000000101,3.6875,4
2,10051967,64,0.0,adaptive,0.02700000000000026,1.203125,2
2,10051967,64,0.1,adaptive,0.04555000000000079,1.90625,4
2,10051967,64,0.3,adaptive,0.051650000000000966,3.09375,4
2,10051967,64,0.5,adaptive,0.062400000000001274,3.84375,4
6,50051971,16,0.0,adaptive,0.021500000000000102,1.0,1
6,50051971,16,0.1,adaptive,0.033850000000000456,1.6875,4
6,50051971,16,0.3,adaptive,0.041800000000000684,3.5625,4
6,50051971,16,0.5,adaptive,0.05415000000000104,4.0,4
6,50051971,64,0.0,adaptive,0.02665000000000025,1.203125,2
6,50051971,64,0.1,adaptive,0.039400000000000615,2.0625,4
6,50051971,64,0.3,adaptive,0.07060000000000038,3.4375,4
6,50051971,64,0.5,adaptive,0.06260000000000127,3.890625,4
7,60051972,16,0.0,adaptive,0.021500000000000102,1.0,1
7,60051972,16,0.1,adaptive,0.03845000000000059,2.125,4
7,60051972,16,0.3,adaptive,0.039350000000000614,2.9375,4
7,60051972,16,0.5,adaptive,0.04260000000000071,3.375,4
7,60051972,64,0.0,adaptive,0.029000000000000317,1.125,3
7,60051972,64,0.1,adaptive,0.04265000000000071,2.171875,4
7,60051972,64,0.3,adaptive,0.05110000000000095,3.25,4
7,60051972,64,0.5,adaptive,0.07285000000000014,3.515625,4
8,70051973,16,0.0,adaptive,0.021500000000000102,1.0,1
8,70051973,16,0.1,adaptive,0.03670000000000054,2.0625,4
8,70051973,16,0.3,adaptive,0.04720000000000084,3.1875,4
8,70051973,16,0.5,adaptive,0.054750000000001055,3.5,4
8,70051973,64,0.0,adaptive,0.030350000000000356,1.375,3
8,70051973,64,0.1,adaptive,0.04195000000000069,2.125,4
8,70051973,64,0.3,adaptive,0.05310000000000101,3.03125,4
8,70051973,64,0.5,adaptive,0.05950000000000119,3.515625,4
12,110051977,16,0.0,adaptive,0.021500000000000102,1.0,1
12,110051977,16,0.1,adaptive,0.0320000000000004,1.8125,3
12,110051977,16,0.3,adaptive,0.036900000000000543,2.6875,4
12,110051977,16,0.5,adaptive,0.04755000000000085,3.625,4
12,110051977,64,0.0,adaptive,0.03260000000000042,1.3125,4
12,110051977,64,0.1,adaptive,0.04070000000000065,1.96875,4
12,110051977,64,0.3,adaptive,0.0458000000000008,3.0,4
12,110051977,64,0.5,adaptive,0.05215000000000098,3.671875,4
10,90051975,16,0.0,adaptive,0.021500000000000102,1.0,1
10,90051975,16,0.1,adaptive,0.03790000000000057,1.8125,4
10,90051975,16,0.3,adaptive,0.035550000000000505,2.4375,4
10,90051975,16,0.5,adaptive,0.05350000000000102,3.625,4
10,90051975,64,0.0,adaptive,0.03430000000000047,1.203125,4
10,90051975,64,0.1,adaptive,0.0598000000000012,2.125,4
10,90051975,64,0.3,adaptive,0.05350000000000102,2.625,4
10,90051975,64,0.5,adaptive,0.05840000000000116,3.640625,4
9,80051974,16,0.0,adaptive,0.02665000000000025,1.125,2
9,80051974,16,0.1,adaptive,0.03950000000000062,2.0,4
9,80051974,16,0.3,adaptive,0.0423500000000007,2.6875,4
9,80051974,16,0.5,adaptive,0.05470000000000105,3.5625,4
9,80051974,64,0.0,adaptive,0.03290000000000043,1.390625,3
9,80051974,64,0.1,adaptive,0.04825000000000087,1.96875,4
9,80051974,64,0.3,adaptive,0.04825000000000087,3.109375,4
9,80051974,64,0.5,adaptive,0.059650000000001195,3.734375,4
11,100051976,16,0.0,adaptive,0.021500000000000102,1.0,1
11,100051976,16,0.1,adaptive,0.05530000000000107,1.875,4
11,100051976,16,0.3,adaptive,0.04400000000000075,3.0,4
11,100051976,16,0.5,adaptive,0.0632000000000012,3.625,4
11,100051976,64,0.0,adaptive,0.02665000000000025,1.140625,2
11,100051976,64,0.1,adaptive,0.05495000000000106,1.984375,4
11,100051976,64,0.3,adaptive,0.054400000000001045,3.078125,4
11,100051976,64,0.5,adaptive,0.07000000000000045,3.78125,4
13,120051978,16,0.0,adaptive,0.021500000000000102,1.0,1
13,120051978,16,0.1,adaptive,0.03250000000000042,1.6875,4
13,120051978,16,0.3,adaptive,0.05010000000000092,3.0625,4
13,120051978,16,0.5,adaptive,0.045000000000000775,3.875,4
13,120051978,64,0.0,adaptive,0.030350000000000356,1.09375,3
13,120051978,64,0.1,adaptive,0.04205000000000069,2.09375,4
13,120051978,64,0.3,adaptive,0.0597000000000012,3.125,4
13,120051978,64,0.5,adaptive,0.0564000000000011,3.703125,4
16,150051981,16,0.0,adaptive,0.021500000000000102,1.0,1
16,150051981,16,0.1,adaptive,0.034500000000000475,1.6875,4
16,150051981,16,0.3,adaptive,0.04445000000000076,3.0625,4
16,150051981,16,0.5,adaptive,0.048100000000000864,3.0625,4
16,150051981,64,0.0,adaptive,0.03260000000000042,1.21875,4
16,150051981,64,0.1,adaptive,0.03565000000000051,1.6875,4
16,150051981,64,0.3,adaptive,0.05155000000000096,3.078125,4
16,150051981,64,0.5,adaptive,0.07649999999999973,3.578125,4
17,160051982,16,0.0,adaptive,0.021500000000000102,1.0,1
17,160051982,16,0.1,adaptive,0.03605000000000052,2.0,4
17,160051982,16,0.3,adaptive,0.04440000000000076,2.4375,4
17,160051982,16,0.5,adaptive,0.06050000000000122,3.8125,4
17,160051982,64,0.0,adaptive,0.02665000000000025,1.203125,2
17,160051982,64,0.1,adaptive,0.0389500000000006,2.078125,4
17,160051982,64,0.3,adaptive,0.053000000000001005,2.9375,4
17,160051982,64,0.5,adaptive,0.06335000000000118,3.71875,4
14,130051979,16,0.0,adaptive,0.021500000000000102,1.0,1
14,130051979,16,0.1,adaptive,0.03290000000000043,1.9375,4
14,130051979,16,0.3,adaptive,0.06855000000000061,3.6875,4
14,130051979,16,0.5,adaptive,0.055500000000001076,3.6875,4
14,130051979,64,0.0,adaptive,0.021500000000000102,1.0,1
14,130051979,64,0.1,adaptive,0.03375000000000045,1.53125,4
14,130051979,64,0.3,adaptive,0.07205000000000022,3.28125,4
14,130051979,64,0.5,adaptive,0.06525000000000097,3.703125,4
18,170051983,16,0.0,adaptive,0.021500000000000102,1.0,1
18,170051983,16,0.1,adaptive,0.034150000000000465,1.625,4
18,170051983,16,0.3,adaptive,0.040800000000000655,3.0625,4
18,170051983,16,0.5,adaptive,0.04455000000000076,3.4375,4
18,170051983,64,0.0,adaptive,0.033100000000000435,1.34375,4
18,170051983,64,0.1,adaptive,0.0389500000000006,2.140625,4
18,170051983,64,0.3,adaptive,0.05140000000000096,3.25,4
18,170051983,64,0.5,adaptive,0.057850000000001144,3.765625,4
15,140051980,16,0.0,adaptive,0.021500000000000102,1.0,1
15,140051980,16,0.1,adaptive,0.03715000000000055,1.5,4
15,140051980,16,0.3,adaptive,0.06605000000000089,3.0625,4
15,140051980,16,0.5,adaptive,0.04450000000000076,3.375,4
15,140051980,64,0.0,adaptive,0.030350000000000356,1.21875,3
15,140051980,64,0.1,adaptive,0.043900000000000744,2.046875,4
15,140051980,64,0.3,adaptive,0.06605000000000089,3.03125,4
15,140051980,64,0.5,adaptive,0.08074999999999927,3.75,4
19,180051984,16,0.0,adaptive,0.021500000000000102,1.0,1
19,180051984,16,0.1,adaptive,0.03325000000000044,1.875,4
19,180051984,16,0.3,adaptive,0.040400000000000644,3.0625,4
19,180051984,16,0.5,adaptive,0.05350000000000102,3.6875,4
19,180051984,64,0.0,adaptive,0.02665000000000025,1.125,2
19,180051984,64,0.1,adaptive,0.0458000000000008,1.90625,4
19,180051984,64,0.3,adaptive,0.05875000000000117,2.9375,4
19,180051984,64,0.5,adaptive,0.05595000000000109,3.796875,4
20,190051985,16,0.0,adaptive,0.021500000000000102,1.0,1
20,190051985,16,0.1,adaptive,0.0355000000000005,1.875,4
20,190051985,16,0.3,adaptive,0.04270000000000071,2.1875,4
20,190051985,16,0.5,adaptive,0.044300000000000755,3.5625,4
20,190051985,64,0.0,adaptive,0.02700000000000026,1.296875,2
20,190051985,64,0.1,adaptive,0.039350000000000614,2.03125,4
20,190051985,64,0.3,adaptive,0.06605000000000089,3.046875,4
20,190051985,64,0.5,adaptive,0.05955000000000119,3.890625,4
24,230051989,16,0.0,adaptive,0.021500000000000102,1.0,1
24,230051989,16,0.1,adaptive,0.035200000000000495,1.875,4
24,230051989,16,0.3,adaptive,0.040100000000000635,2.6875,4
24,230051989,16,0.5,adaptive,0.04735000000000084,3.25,4
24,230051989,64,0.0,adaptive,0.03260000000000042,1.1875,4
24,230051989,64,0.1,adaptive,0.04055000000000065,2.015625,4
24,230051989,64,0.3,adaptive,0.04720000000000084,3.03125,4
24,230051989,64,0.5,adaptive,0.052700000000000996,3.5625,4
22,210051987,16,0.0,adaptive,0.021500000000000102,1.0,1
22,210051987,16,0.1,adaptive,0.03500000000000049,1.625,4
22,210051987,16,0.3,adaptive,0.04785000000000086,2.875,4
22,210051987,16,0.5,adaptive,0.04370000000000074,3.3125,4
22,210051987,64,0.0,adaptive,0.030350000000000356,1.4375,3
22,210051987,64,0.1,adaptive,0.04645000000000082,2.34375,4
22,210051987,64,0.3,adaptive,0.050600000000000936,3.328125,4
22,210051987,64,0.5,adaptive,0.06095000000000123,3.578125,4
23,220051988,16,0.0,adaptive,0.021500000000000102,1.0,1
23,220051988,16,0.1,adaptive,0.03430000000000047,1.9375,4
23,220051988,16,0.3,adaptive,0.041450000000000674,2.6875,4
23,220051988,16,0.5,adaptive,0.060300000000001214,2.6875,4
23,220051988,64,0.0,adaptive,0.030350000000000356,1.171875,3
23,220051988,64,0.1,adaptive,0.03775000000000057,2.0625,4
23,220051988,64,0.3,adaptive,0.06045000000000122,3.1875,4
23,220051988,64,0.5,adaptive,0.064950000000001,3.5625,4
21,200051986,16,0.0,adaptive,0.021500000000000102,1.0,1
21,200051986,16,0.1,adaptive,0.03230000000000041,1.5625,4
21,200051986,16,0.3,adaptive,0.061700000000001254,3.375,4
21,200051986,16,0.5,adaptive,0.04685000000000083,3.6875,4
21,200051986,64,0.0,adaptive,0.030350000000000356,1.484375,3
21,200051986,64,0.1,adaptive,0.03710000000000055,2.515625,4
21,200051986,64,0.3,adaptive,0.061700000000001254,3.25,4
21,200051986,64,0.5,adaptive,0.06650000000000084,3.640625,4
25,240051990,16,0.0,adaptive,0.02665000000000025,1.125,2
25,240051990,16,0.1,adaptive,0.03160000000000039,1.5625,3
25,240051990,16,0.3,adaptive,0.040400000000000644,2.9375,4
25,240051990,16,0.5,adaptive,0.0598500000000012,3.6875,4
25,240051990,64,0.0,adaptive,0.030350000000000356,1.3125,3
25,240051990,64,0.1,adaptive,0.04280000000000071,2.0625,4
25,240051990,64,0.3,adaptive,0.06915000000000054,3.25,4
25,240051990,64,0.5,adaptive,0.06845000000000062,3.796875,4
27,260051992,16,0.0,adaptive,0.021500000000000102,1.0,1
27,260051992,16,0.1,adaptive,0.0319000000000004,1.4375,4
